properties{
  x = 512,
  y = 1024,
  width = 1024,
  height = 504,
  min_layer = 0,
  max_layer = 2,
  world = "outside_world",
  tileset = "light_world",
  music = "same",
}

tile{
  layer = 0,
  x = 64,
  y = 416,
  width = 48,
  height = 8,
  pattern = "grass.tree.roots.2",
}

tile{
  layer = 0,
  x = 64,
  y = 320,
  width = 48,
  height = 8,
  pattern = "grass.tree.roots.2",
}

tile{
  layer = 0,
  x = 464,
  y = 304,
  width = 48,
  height = 8,
  pattern = "grass.tree.roots.2",
}

tile{
  layer = 0,
  x = 984,
  y = 432,
  width = 16,
  height = 16,
  pattern = "grass.cliff.top.border.diag.1",
}

tile{
  layer = 0,
  x = 872,
  y = 400,
  width = 80,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 920,
  y = 352,
  width = 48,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 888,
  y = 368,
  width = 112,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 792,
  y = 384,
  width = 240,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 776,
  y = 352,
  width = 16,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 696,
  y = 368,
  width = 128,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 640,
  y = 384,
  width = 128,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 600,
  y = 392,
  width = 48,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 592,
  y = 400,
  width = 48,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 720,
  y = 248,
  width = 96,
  height = 40,
  pattern = "water",
}

tile{
  layer = 0,
  x = 672,
  y = 200,
  width = 112,
  height = 56,
  pattern = "water",
}

tile{
  layer = 0,
  x = 656,
  y = 128,
  width = 112,
  height = 72,
  pattern = "water",
}

tile{
  layer = 0,
  x = 664,
  y = 64,
  width = 16,
  height = 16,
  pattern = "grass.cliff.top.border.diag.1",
}

tile{
  layer = 0,
  x = 800,
  y = 296,
  width = 16,
  height = 16,
  pattern = "cliff.corner.diag.4",
}

tile{
  layer = 0,
  x = 816,
  y = 296,
  width = 16,
  height = 16,
  pattern = "cliff.top.border.diag.4",
}

tile{
  layer = 0,
  x = 736,
  y = 280,
  width = 16,
  height = 16,
  pattern = "water.cliff_wave.diag.3b",
}

tile{
  layer = 0,
  x = 736,
  y = 296,
  width = 16,
  height = 16,
  pattern = "cliff.corner.diag.3",
}

tile{
  layer = 0,
  x = 744,
  y = 288,
  width = 64,
  height = 16,
  pattern = "water.cliff_wave.2",
}

tile{
  layer = 0,
  x = 648,
  y = 144,
  width = 16,
  height = 16,
  pattern = "water.cliff_wave.diag.1b",
}

tile{
  layer = 0,
  x = 624,
  y = 152,
  width = 16,
  height = 48,
  pattern = "water.cliff.3",
}

tile{
  layer = 0,
  x = 640,
  y = 120,
  width = 16,
  height = 16,
  pattern = "cliff.diag.1",
}

tile{
  layer = 0,
  x = 808,
  y = 192,
  width = 16,
  height = 16,
  pattern = "grass.cliff.top.border.diag.2",
}

tile{
  layer = 0,
  x = 808,
  y = 320,
  width = 16,
  height = 16,
  pattern = "grass.cliff.top.border.diag.4",
}

tile{
  layer = 0,
  x = 728,
  y = 320,
  width = 16,
  height = 16,
  pattern = "grass.cliff.top.border.diag.3",
}

tile{
  layer = 0,
  x = 296,
  y = 272,
  width = 8,
  height = 24,
  pattern = "house.wall.corner.2",
}

tile{
  layer = 0,
  x = 208,
  y = 272,
  width = 8,
  height = 24,
  pattern = "house.wall.corner.1",
}

tile{
  layer = 0,
  x = 384,
  y = 384,
  width = 224,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 400,
  y = 360,
  width = 48,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 376,
  y = 376,
  width = 80,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 368,
  y = 336,
  width = 32,
  height = 48,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 240,
  y = 352,
  width = 128,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 280,
  y = 368,
  width = 16,
  height = 48,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 472,
  y = 144,
  width = 16,
  height = 16,
  pattern = "grass.cliff.top.border.diag.1",
}

tile{
  layer = 0,
  x = 416,
  y = -24,
  width = 24,
  height = 48,
  pattern = "tree.green.half.1",
}

tile{
  layer = 0,
  x = 328,
  y = 64,
  width = 48,
  height = 16,
  pattern = "grass.tree.roots.1",
}

tile{
  layer = 0,
  x = 0,
  y = 176,
  width = 144,
  height = 8,
  pattern = "cliff.top.1",
}

tile{
  layer = 0,
  x = 368,
  y = -24,
  width = 24,
  height = 48,
  pattern = "tree.green.half.2",
}

tile{
  layer = 0,
  x = -32,
  y = -24,
  width = 384,
  height = 40,
  pattern = "tree.under",
}

tile{
  layer = 0,
  x = -8,
  y = 24,
  width = 384,
  height = 40,
  pattern = "tree.under",
}

tile{
  layer = 0,
  x = -32,
  y = 72,
  width = 384,
  height = 40,
  pattern = "tree.under",
}

tile{
  layer = 0,
  x = 376,
  y = 56,
  width = 8,
  height = 16,
  pattern = "grass.tree.roots.4",
}

tile{
  layer = 0,
  x = 112,
  y = 112,
  width = 240,
  height = 16,
  pattern = "grass.tree.roots.1",
}

tile{
  layer = 0,
  x = 352,
  y = 104,
  width = 8,
  height = 16,
  pattern = "grass.tree.roots.4",
}

tile{
  layer = 0,
  x = 160,
  y = 128,
  width = 192,
  height = 8,
  pattern = "grass.tree.roots.2",
}

tile{
  layer = 0,
  x = -8,
  y = 120,
  width = 144,
  height = 40,
  pattern = "tree.under",
}

tile{
  layer = 0,
  x = -8,
  y = 160,
  width = 144,
